location,size,total_sqft,bath,price,Place
Chikkathoguru,2 BHK,1045,2.0,42.0,Bengaluru
Chelekare,2 BHK,1250,2.0,62.4,Bengaluru
Bande Nallasandra,3 Bedroom,2400,4.0,130.0,Bengaluru
Haralur Road,2 BHK,1194,2.0,46.0,Bengaluru
Kanakpura Road,3 BHK,1420,3.0,68.0,Bengaluru
Sector 1 HSR Layout,3 BHK,1720,3.0,83.0,Bengaluru
Rachenahalli,3 BHK,1530,2.0,74.4,Bengaluru
Anandapura,3 Bedroom,1200,2.0,66.0,Bengaluru
Whitefield,3 BHK,1570,3.0,88.0,Bengaluru
Sarjapur  Road,3 BHK,1157,2.0,74.0,Bengaluru
Sarjapur,2 BHK,535,1.0,20.0,Bengaluru
Kanakapura,2 BHK,1120,2.0,39.2,Bengaluru
Kenchenahalli,2 BHK,1150,2.0,60.0,Bengaluru
Hebbal Kempapura,5 Bedroom,2400,5.0,200.0,Bengaluru
Bannerghatta Road,2 BHK,1215,2.0,68.0,Bengaluru
Bhoganhalli,2 BHK,1444,2.0,75.97,Bengaluru
6th Phase JP Nagar,3 BHK,2003,3.0,200.0,Bengaluru
Thirumenahalli,2 BHK,1100,2.0,70.0,Bengaluru
Kodichikkanahalli,2 BHK,900,2.0,42.0,Bengaluru
Talaghattapura,3 BHK,1372,2.0,43.9,Bengaluru
Chikka Tirupathi,4 Bedroom,4500,5.0,150.0,Bengaluru
Bisuvanahalli,3 BHK,1180,2.0,55.5,Bengaluru
Electronic City,2 BHK,1096,2.0,39.0,Bengaluru
Yeshwanthpur,3 BHK,2504,3.0,138.0,Bengaluru
2nd Phase Judicial Layout,3 BHK,1350,2.0,47.25,Bengaluru
Raghuvanahalli,1 BHK,420,1.0,23.5,Bengaluru
Hennur Road,3 BHK,1832,3.0,116.0,Bengaluru
Anandapura,6 Bedroom,1380,7.0,130.0,Bengaluru
Vasanthapura,2 BHK,940,2.0,40.0,Bengaluru
Whitefield,4 Bedroom,4290,5.0,625.0,Bengaluru
Electronic City Phase II,2 BHK,1020,2.0,29.45,Bengaluru
Abbigere,6 Bedroom,2500,6.0,81.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1400,2.0,45.0,Bengaluru
HAL Layout,3 BHK,1675,3.0,65.0,Bengaluru
Tumkur Road,2 BHK,708,2.0,32.0,Bengaluru
Channasandra,2 BHK,1123,2.0,36.0,Bengaluru
Talaghattapura,2 BHK,1100,2.0,49.49,Bengaluru
Upkar Layout,2 BHK,1225,2.0,71.05,Bengaluru
Lingadheeranahalli,3 BHK,1683,3.0,140.0,Bengaluru
Kengeri Satellite Town,1 BHK,410,1.0,15.0,Bengaluru
Banashankari Stage II,3 Bedroom,2400,2.0,300.0,Bengaluru
Kenchenhalli,4 Bedroom,1350,4.0,90.0,Bengaluru
Gubbalala,2 BHK,1475,2.0,80.0,Bengaluru
Kengeri Satellite Town,2 BHK,1120,2.0,49.0,Bengaluru
KR Puram,2 BHK,1150,2.0,42.0,Bengaluru
Yeshwanthpur,2 BHK,1165,2.0,85.0,Bengaluru
Harlur,3 BHK,1756,3.0,134.0,Bengaluru
Ambedkar Nagar,2 BHK,1409,2.0,95.0,Bengaluru
Mahadevpura,2 BHK,1212,2.0,56.9,Bengaluru
Doddathoguru,2 BHK,1140,2.0,26.49,Bengaluru
Hegde Nagar,3 BHK,2087.01,3.0,115.0,Bengaluru
Jalahalli East,1 BHK,750 - 800,1.0,34.1,Bengaluru
Sarjapur  Road,3 BHK,1700,3.0,118.0,Bengaluru
Carmelaram,3 BHK,1660 - 1805,3.0,91.855,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1110,2.0,52.0,Bengaluru
Electronic City Phase II,2 BHK,1000,2.0,28.88,Bengaluru
Marathahalli,7 Bedroom,1550,7.0,160.0,Bengaluru
Chikka Tirupathi,4 Bedroom,2704,5.0,105.0,Bengaluru
Vidya Nagar,2 Bedroom,3760,2.0,280.0,Bengaluru
Hormavu,5 Bedroom,1600,5.0,140.0,Bengaluru
Bhoganhalli,2 BHK,1205,2.0,64.47,Bengaluru
Thigalarapalya,2 BHK,1418,2.0,105.0,Bengaluru
Ardendale,3 BHK,1650,3.0,82.0,Bengaluru
MS Pallya,7 Bedroom,1200,7.0,139.0,Bengaluru
Electronic City,2 BHK,1150,2.0,38.0,Bengaluru
Byadarahalli,3 BHK,3071,4.0,300.0,Bengaluru
Dasanapura,4 Bedroom,2400,5.0,100.0,Bengaluru
Singapura Village,2 BHK,850,2.0,34.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1580,3.0,83.74,Bengaluru
Whitefield,2 BHK,1216,2.0,84.03,Bengaluru
Kanakpura Road,1 BHK,381,1.0,28.0,Bengaluru
KR Puram,9 BHK,4600,9.0,200.0,Bengaluru
Hebbal,2 BHK,1040,2.0,55.0,Bengaluru
Choodasandra,4 Bedroom,2429,3.0,210.0,Bengaluru
Akshaya Vana,3 BHK,1260,2.0,49.0,Bengaluru
Kanakpura Road,3 BHK,1498,3.0,74.9,Bengaluru
Vidyaranyapura,3 BHK,1200,2.0,65.0,Bengaluru
Electronic City,2 BHK,1355,2.0,72.9,Bengaluru
Canara Bank Layout,3 BHK,1450,3.0,65.0,Bengaluru
Yeshwanthpur,3 BHK,1860,3.0,168.0,Bengaluru
Whitefield,2 BHK,1240,2.0,70.0,Bengaluru
Kanakpura Road,3 BHK,1300,2.0,55.0,Bengaluru
Kundalahalli,4 Bedroom,2500,5.0,245.0,Bengaluru
Ambedkar Nagar,3 BHK,1950,4.0,120.0,Bengaluru
Ambalipura,3 BHK,1625,2.0,145.0,Bengaluru
Electronic City,2 BHK,1200,2.0,30.0,Bengaluru
OMBR Layout,2 BHK,1101,2.0,66.0,Bengaluru
Whitefield,2 BHK,1216,2.0,72.5,Bengaluru
Uttarahalli,3 BHK,1250,2.0,50.0,Bengaluru
Samethanahalli,3 Bedroom,2100,3.0,70.0,Bengaluru
Ananth Nagar,3 BHK,1470,3.0,54.0,Bengaluru
Bannerghatta Road,3 BHK,1365,3.0,76.18,Bengaluru
Hosa Road,2 BHK,1364,2.0,64.79,Bengaluru
Banashankari Stage VI,2 BHK,1180,2.0,59.47,Bengaluru
7th Phase JP Nagar,3 BHK,1800,3.0,130.0,Bengaluru
Kothannur,2 BHK,1350,2.0,42.0,Bengaluru
Thanisandra,3 BHK,1573,3.0,98.0,Bengaluru
Nallurhalli,3 BHK,1620,3.0,95.0,Bengaluru
Doddakallasandra,2 BHK,1072,2.0,42.87,Bengaluru
Bagalakunte,1 BHK,560,1.0,21.0,Bengaluru
Coconut Grove Layout,2 BHK,1156,2.0,46.0,Bengaluru
Kudlu Gate,2 BHK,1336,2.0,86.0,Bengaluru
Electronic City,2 BHK,1200,2.0,20.0,Bengaluru
Marathahalli,4 BHK,3400,4.0,235.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1608,3.0,54.51,Bengaluru
JP Nagar,4 BHK,4000,4.0,441.0,Bengaluru
Whitefield,2 BHK,1215,2.0,40.0,Bengaluru
Cox Town,2 BHK,1100,2.0,166.0,Bengaluru
Green Glen Layout,3 BHK,1517,3.0,100.0,Bengaluru
Mallasandra,2 BHK,1565,2.0,69.0,Bengaluru
Palace Guttahalli,6 Bedroom,1680,4.0,250.0,Bengaluru
Whitefield,3 BHK,2025,4.0,115.0,Bengaluru
Jalahalli,2 BHK,1057,2.0,34.71,Bengaluru
Sadashiva Nagar,3 BHK,3850,3.0,650.0,Bengaluru
Sarjapur,2 BHK,1044,2.0,34.0,Bengaluru
Domlur,3 BHK,1695,3.0,125.0,Bengaluru
Ramagondanahalli,3 BHK,1635,3.0,61.0,Bengaluru
Hiremath Layout,2 BHK,1140,2.0,56.0,Bengaluru
Electronic City,2 BHK,1150,2.0,35.0,Bengaluru
Yelachenahalli,2 BHK,1110,2.0,110.0,Bengaluru
Yeshwanthpur,2 BHK,1163,2.0,64.08,Bengaluru
Thubarahalli,3 BHK,1418,2.0,65.0,Bengaluru
Varthur,2 BHK,1155,2.0,60.0,Bengaluru
Bannerghatta Road,2 BHK,1115,2.0,78.0,Bengaluru
Sanjeevini Nagar,3 BHK,2250,3.0,180.0,Bengaluru
NGR Layout,2 BHK,1020,2.0,48.45,Bengaluru
Naidu Layout,3 BHK,1485,3.0,78.0,Bengaluru
Whitefield,4 Bedroom,1920,5.0,250.0,Bengaluru
Shingapura,1 Bedroom,1350,2.0,45.0,Bengaluru
8th block Koramangala,2 BHK,1209,2.0,100.0,Bengaluru
8th Phase JP Nagar,2 BHK,1089,2.0,43.55,Bengaluru
Yelahanka,2 BHK,1445,2.0,82.0,Bengaluru
Uttarahalli,3 BHK,1250,2.0,50.0,Bengaluru
SHANTHINAGAR,3 BHK,1500,3.0,95.0,Bengaluru
 Devarachikkanahalli,3 BHK,1705,3.0,75.0,Bengaluru
Indira Nagar,3 BHK,2200,3.0,160.0,Bengaluru
Cunningham Road,5 Bedroom,2925,5.0,936.0,Bengaluru
Laggere,8 Bedroom,1800,8.0,110.0,Bengaluru
Whitefield,5 Bedroom,7200,5.0,900.0,Bengaluru
Bellandur,3 BHK,1830,3.0,90.0,Bengaluru
Electronics City Phase 1,3 BHK,1450,3.0,58.0,Bengaluru
Choodasandra,3 BHK,1220,3.0,56.0,Bengaluru
Hoodi,2 BHK,1259,2.0,69.45,Bengaluru
Subramanyapura,3 BHK,1260,2.0,73.0,Bengaluru
Kaggadasapura,3 Bedroom,2500,5.0,120.0,Bengaluru
Kudlu Gate,3 BHK,1919,3.0,121.0,Bengaluru
Vishveshwarya Layout,6 Bedroom,1400,6.0,160.0,Bengaluru
Hennur Road,3 BHK,2050,3.0,120.0,Bengaluru
Basavangudi,2 BHK,1050,2.0,103.0,Bengaluru
Bhuvaneshwari Nagar,2 BHK,1000,2.0,60.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1640,3.0,86.8,Bengaluru
Kumarapalli,3 BHK,1488,2.0,65.0,Bengaluru
Chikkalasandra,3 BHK,1265,2.0,53.12,Bengaluru
Hennur,3 BHK,1640,3.0,120.0,Bengaluru
9th Phase JP Nagar,3 BHK,1719.3,2.0,88.0,Bengaluru
Someshwara Layout,4 Bedroom,1200,4.0,130.0,Bengaluru
Kaggadasapura,2 BHK,1180,2.0,70.0,Bengaluru
HBR Layout,3 BHK,1700,3.0,110.0,Bengaluru
Kudlu Gate,2 BHK,1464,3.0,56.0,Bengaluru
JP Nagar,6 Bedroom,1800,6.0,68.0,Bengaluru
Cox Town,4 Bedroom,1495,2.0,300.0,Bengaluru
Yelahanka,2 BHK,1225,2.0,62.0,Bengaluru
7th Phase JP Nagar,2 BHK,1050,2.0,68.0,Bengaluru
Sarjapur  Road,3 BHK,1691,3.0,120.0,Bengaluru
Doopanahalli,3 BHK,2250,3.0,199.0,Bengaluru
Munivenkatppa Layout,4 BHK,3700,4.0,314.0,Bengaluru
Jalahalli,8 Bedroom,1244,6.0,130.0,Bengaluru
Jay an agar 4 T Block,4 Bedroom,750,4.0,120.0,Bengaluru
Satyasaibaba Layout,2 BHK,1190,2.0,42.25,Bengaluru
Haralur Road,2 BHK,1243,2.0,46.0,Bengaluru
Hormavu,2 BHK,765,2.0,37.49,Bengaluru
Chamrajpet,2 BHK,730,1.0,52.0,Bengaluru
Queens Road,3 BHK,1405,3.0,169.0,Bengaluru
Old Madras Road,3 BHK,1350,3.0,45.9,Bengaluru
Yelahanka New Town,1 BHK,500,1.0,18.0,Bengaluru
Amruthahalli,2 BHK,1200,2.0,55.0,Bengaluru
Electronic City,2 BHK,1165,2.0,33.64,Bengaluru
7th Phase JP Nagar,3 BHK,1400,2.0,57.0,Bengaluru
Vaishnavi Layout,4 Bedroom,4800,6.0,420.0,Bengaluru
Hormavu,3 BHK,1668,2.0,120.0,Bengaluru
Kenchenahalli,1 BHK,700,1.0,35.0,Bengaluru
5th Phase JP Nagar,3 BHK,1485,2.0,66.0,Bengaluru
Kanakpura Road,2 BHK,700,2.0,41.0,Bengaluru
Whitefield,3 BHK,1346,2.0,100.0,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,47.0,Bengaluru
Bellari Road,2 BHK,1050,2.0,43.5,Bengaluru
1st Block Koramangala,3 BHK,1800,3.0,53.0,Bengaluru
Electronic City,3 BHK,1609,3.0,115.0,Bengaluru
Electronic City,2 BHK,770,1.0,35.0,Bengaluru
Kudlu,2 BHK,1076,2.0,50.0,Bengaluru
Kengeri,2 BHK,1052,2.0,51.0,Bengaluru
Channasandra,2 BHK,1000,2.0,35.0,Bengaluru
Bommasandra Industrial Area,2 BHK,1000,2.0,28.88,Bengaluru
Thanisandra,3 BHK,1262,2.0,83.0,Bengaluru
Koppa,3 Bedroom,720,3.0,48.0,Bengaluru
Harsha Layout,1 BHK,500,1.0,16.0,Bengaluru
Sadashiva Nagar,4 BHK,3500,4.0,700.0,Bengaluru
Shanthala Nagar,3 BHK,1600,3.0,180.0,Bengaluru
Ramagondanahalli,2 BHK,1251,2.0,53.0,Bengaluru
Nagarbhavi,3 Bedroom,1050,3.0,175.0,Bengaluru
Nyanappana Halli,2 BHK,1140,2.0,49.0,Bengaluru
Old Madras Road,2 BHK,1157,2.0,47.32,Bengaluru
RR Nagar,1 BHK,648,1.0,34.0,Bengaluru
Harlur,2 BHK,1197,2.0,78.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1500,3.0,51.04,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1185,2.0,51.15,Bengaluru
Kumaraswami Layout,3 Bedroom,2400,2.0,125.0,Bengaluru
Kundalahalli,3 BHK,1397,3.0,105.0,Bengaluru
Uttarahalli,2 BHK,1175,2.0,47.0,Bengaluru
Basaveshwara Nagar,2 BHK,900,2.0,60.0,Bengaluru
Rachenahalli,3 BHK,2710,3.0,170.0,Bengaluru
Tala Cauvery Layout,3 BHK,1720,2.0,126.0,Bengaluru
Cambridge Layout,3 BHK,1756,3.0,307.0,Bengaluru
Yelahanka,1 BHK,602,1.0,38.0,Bengaluru
Sarjapur  Road,3 BHK,1770,3.0,180.0,Bengaluru
Kothannur,6 Bedroom,930,6.0,150.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1295,2.0,43.9,Bengaluru
Rachenahalli,2 BHK,1200,2.0,46.5,Bengaluru
Hagadur,2 BHK,1100,2.0,45.0,Bengaluru
Haralur Road,2 BHK,1194,2.0,46.0,Bengaluru
Marsur,3 BHK,720,2.0,32.0,Bengaluru
Kasavanhalli,3 BHK,1476,3.0,105.0,Bengaluru
Thanisandra,2 BHK,1056,2.0,65.0,Bengaluru
Singapura Village,2 BHK,825,2.0,35.0,Bengaluru
EPIP Zone,3 BHK,1860,3.0,130.0,Bengaluru
Gunjur,2 BHK,1063,2.0,40.0,Bengaluru
Yelahanka,1 BHK,697,1.0,35.0,Bengaluru
Vijayanagar,1 Bedroom,2400,2.0,230.0,Bengaluru
Anekal,2 Bedroom,1200,1.0,36.0,Bengaluru
CV Raman Nagar,3 BHK,1835,3.0,160.0,Bengaluru
Bannerghatta Road,3 BHK,1365 - 1700,3.0,79.465,Bengaluru
BTM 2nd Stage,2 BHK,1147,2.0,75.0,Bengaluru
Uttarahalli,3 BHK,1360,2.0,47.59,Bengaluru
Kothanur,4 Bedroom,3400,5.0,265.0,Bengaluru
Hosakerehalli Layout,2 BHK,1080,2.0,64.0,Bengaluru
Doddakallasandra,2 BHK,1010,2.0,40.4,Bengaluru
Shanti Nagar,4 Bedroom,2600,4.0,523.0,Bengaluru
Brookefield,2 BHK,1270,2.0,95.0,Bengaluru
Basapura,2 BHK,1100,2.0,61.0,Bengaluru
Bellandur,2 BHK,1410,3.0,92.0,Bengaluru
Yelahanka,2 BHK,1065,2.0,41.38,Bengaluru
Anekal,2 Bedroom,1200,1.0,36.0,Bengaluru
Hebbal,3 BHK,1315,3.0,65.0,Bengaluru
Indira Nagar,3 BHK,1650,3.0,200.0,Bengaluru
Haralur Road,2 BHK,1140,2.0,43.0,Bengaluru
Kaggadasapura,2 BHK,960,2.0,45.0,Bengaluru
Hosapalya,2 BHK,800,1.0,29.0,Bengaluru
Doctors Layout,2 BHK,1225,2.0,47.0,Bengaluru
Whitefield,2 BHK,1020,2.0,45.0,Bengaluru
Magadi Road,2 BHK,750,2.0,27.0,Bengaluru
2nd Block Koramangala,3 Bedroom,3000,3.0,550.0,Bengaluru
 Mysore Highway,1 BHK,535,1.0,35.0,Bengaluru
Varthur,2 BHK,1035,2.0,60.0,Bengaluru
Bommasandra Industrial Area,2 BHK,1020,2.0,29.45,Bengaluru
GM Palaya,3 BHK,1315,3.0,64.0,Bengaluru
Basavangudi,3 BHK,1350,2.0,130.0,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,48.0,Bengaluru
Kengeri Satellite Town,3 BHK,1450,2.0,50.0,Bengaluru
Gottigere,1 Bedroom,1806,1.0,150.0,Bengaluru
Marathahalli,2 BHK,1350,2.0,99.0,Bengaluru
Binny Pete,3 Bedroom,1282,3.0,178.0,Bengaluru
Sarjapur  Road,3 BHK,1929,3.0,103.0,Bengaluru
Varthur,2 BHK,1100,2.0,72.0,Bengaluru
Kundalahalli,3 BHK,1800,3.0,110.0,Bengaluru
Gubbalala,2 BHK,1223,2.0,42.81,Bengaluru
Bharathi Nagar,3 BHK,1664,3.0,69.89,Bengaluru
Uttarahalli,3 BHK,1360,2.0,47.59,Bengaluru
Kasavanhalli,2 BHK,1158,2.0,67.0,Bengaluru
Hormavu,3 BHK,1420,3.0,58.0,Bengaluru
Rajaji Nagar,2 BHK,1268,2.0,127.0,Bengaluru
Sarjapur  Road,2 BHK,1308,2.0,75.0,Bengaluru
Basavangudi,3 BHK,1485,3.0,140.0,Bengaluru
Volagerekallahalli,2 BHK,1067,2.0,33.99,Bengaluru
Hulimavu,4 Bedroom,2000,4.0,100.0,Bengaluru
Rajaji Nagar,3 BHK,2450,3.0,330.0,Bengaluru
Glass Factory Layout,2 BHK,1152,2.0,42.0,Bengaluru
Uttarahalli,3 BHK,1525,2.0,62.82,Bengaluru
Whitefield,2 BHK,935,2.0,32.72,Bengaluru
Jagadish Nagar,3 BHK,1465,2.0,88.0,Bengaluru
HBR Layout,2 BHK,1198,2.0,65.0,Bengaluru
3rd Phase Iti Layout,2 BHK,1145,2.0,63.0,Bengaluru
Attibele,2 Bedroom,1000,2.0,42.0,Bengaluru
Anekal,1 BHK,400,1.0,11.5,Bengaluru
 south,4 BHK,3420,3.0,410.0,Bengaluru
Marathahalli,3 BHK,1310,3.0,63.22,Bengaluru
Panathur,3 BHK,1861,3.0,92.0,Bengaluru
Uttarahalli,3 BHK,1265,2.0,65.0,Bengaluru
Green Domain Layout,2 BHK,1280,2.0,75.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1279,2.0,53.76,Bengaluru
TC Palaya,3 Bedroom,1200,2.0,66.0,Bengaluru
"Ananthapura, T C palaya Main Road",2 Bedroom,680,3.0,60.0,Bengaluru
Uttarahalli,3 BHK,1590,3.0,57.0,Bengaluru
Hoodi,3 BHK,1837,3.0,142.0,Bengaluru
Hegde Nagar,3 BHK,1703,3.0,130.0,Bengaluru
Kudlu,3 BHK,1293,2.0,80.0,Bengaluru
Kanakpura Road,2 BHK,700,2.0,35.0,Bengaluru
Doctors Layout,3 BHK,1450,3.0,75.0,Bengaluru
5th Phase JP Nagar,2 BHK,1030,2.0,57.0,Bengaluru
Kanakpura Road,3 BHK,1570,3.0,65.93,Bengaluru
7th Phase JP Nagar,2 BHK,1000,2.0,60.0,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,37.0,Bengaluru
Varthur,2 BHK,1091,2.0,33.82,Bengaluru
EPIP Zone,3 BHK,2210,3.0,165.0,Bengaluru
Outer Ring Road East,3 BHK,1738,3.0,110.0,Bengaluru
Rajaji Nagar,3 BHK,1640,3.0,262.0,Bengaluru
Gottigere,2 BHK,1205,2.0,56.58,Bengaluru
Kengeri,2 BHK,1009,2.0,30.27,Bengaluru
2nd Stage Nagarbhavi,5 Bedroom,1200,4.0,240.0,Bengaluru
Thigalarapalya,4 BHK,3362,5.0,249.0,Bengaluru
Mysore Road,3 BHK,1410 - 1710,,83.3,Bengaluru
Rajaji Nagar,4 Bedroom,1600,3.0,140.0,Bengaluru
Sanjay nagar,2 BHK,960,2.0,55.0,Bengaluru
Uttarahalli,3 BHK,1330,2.0,46.55,Bengaluru
Whitefield,2 BHK,1024,2.0,32.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1196,2.0,40.54,Bengaluru
Mico Layout,1 BHK,800,1.0,29.5,Bengaluru
Sarjapur  Road,3 BHK,2650,3.0,260.0,Bengaluru
Jakkur,2 BHK,1080,2.0,60.0,Bengaluru
Hebbal,2 BHK,1150,2.0,55.0,Bengaluru
Dasanapura,3 BHK,1286,2.0,68.0,Bengaluru
Whitefield,4 Bedroom,2990,3.0,198.0,Bengaluru
JP Nagar,2 BHK,1150,2.0,90.0,Bengaluru
Cooke Town,2 BHK,1310,2.0,111.0,Bengaluru
Prithvi Layout,2 BHK,1352,2.0,72.0,Bengaluru
Bommanahalli,2 BHK,1307,2.0,50.0,Bengaluru
Channasandra,4 Bedroom,1500,4.0,89.45,Bengaluru
Singena Agrahara,3 Bedroom,1500,3.0,90.0,Bengaluru
Thanisandra,2 BHK,1079 - 1183,2.0,55.975,Bengaluru
Whitefield,3 Bedroom,1600,3.0,69.1,Bengaluru
Hosur Road,4 BHK,2800 - 2870,4.0,241.0,Bengaluru
Yelahanka,1 BHK,682,1.0,36.23,Bengaluru
Whitefield,4 Bedroom,2500,4.0,420.0,Bengaluru
Vittasandra,3 BHK,1650,3.0,85.5,Bengaluru
Haralur Road,3 BHK,1850,3.0,120.0,Bengaluru
Gubbalala,4 Bedroom,2000,4.0,85.0,Bengaluru
Phase 1 Kammasandra,2 BHK,982,2.0,25.0,Bengaluru
Nandi Durga Road,2 BHK,2015,4.0,325.0,Bengaluru
Thanisandra,3 BHK,1702,3.0,115.0,Bengaluru
Amruthahalli,2 BHK,1250,2.0,79.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1240,2.0,40.54,Bengaluru
Sneha Colony,2 Bedroom,1050,2.0,110.0,Bengaluru
Yelahanka,2 BHK,1023,2.0,52.59,Bengaluru
Dairy Circle,2 BHK,1541,2.0,181.0,Bengaluru
Siddapura,2 BHK,1275,2.0,105.0,Bengaluru
Jakkur,2 BHK,1230 - 1290,2.0,71.195,Bengaluru
Sarjapur  Road,3 BHK,1580,3.0,125.0,Bengaluru
Thanisandra,2 BHK,1343,2.0,75.0,Bengaluru
Bommasandra,3 BHK,1365,3.0,52.81,Bengaluru
Kundalahalli,2 BHK,1047,2.0,72.0,Bengaluru
Shampura,2 BHK,1187,2.0,42.0,Bengaluru
Banashankari Stage III,4 Bedroom,1050,3.0,147.0,Bengaluru
Frazer Town,1 Bedroom,560,1.0,90.0,Bengaluru
Banashankari Stage III,3 Bedroom,1000,2.0,120.0,Bengaluru
Nagadevanahalli,5 Bedroom,1200,5.0,260.0,Bengaluru
Choodasandra,2 BHK,1075,2.0,45.0,Bengaluru
Dairy Circle,3 BHK,2048,3.0,206.0,Bengaluru
Raja Rajeshwari Nagar,2 BHK,1090,2.0,57.0,Bengaluru
Doddakammanahalli,3 BHK,1119,2.0,48.5,Bengaluru
Poornapragna Housing Society Layout,3 BHK,1355,2.0,58.25,Bengaluru
Hennur Road,3 BHK,1445,2.0,86.69,Bengaluru
Electronics City Phase 1,6 Bedroom,1314,5.0,120.0,Bengaluru
Malleshwaram,4 BHK,6500,4.0,1400.0,Bengaluru
Yeshwanthpur,2 BHK,1165,2.0,64.08,Bengaluru
Hormavu,2 BHK,943 - 1220,2.0,38.665,Bengaluru
Kothanur,3 BHK,1787,3.0,107.0,Bengaluru
Mico Layout,4 Bedroom,3600,4.0,330.0,Bengaluru
Battarahalli,6 Bedroom,1200,6.0,100.0,Bengaluru
Electronic City,2 BHK,1020,2.0,29.45,Bengaluru
Sarjapur  Road,3 BHK,1797,4.0,95.0,Bengaluru
Whitefield,2 BHK,1205,2.0,58.0,Bengaluru
Chennammana Kere,2 BHK,1095,2.0,55.85,Bengaluru
Yelahanka,3 BHK,1560,2.0,98.0,Bengaluru
5th Phase JP Nagar,2 BHK,1200,2.0,68.0,Bengaluru
Rajaji Nagar,2 Bedroom,1200,1.0,200.0,Bengaluru
Kanakpura Road,3 BHK,1450,3.0,65.0,Bengaluru
Whitefield,3 BHK,1496,2.0,718.0,Bengaluru
Thanisandra,3 BHK,1935,4.0,122.0,Bengaluru
Hosa Road,2 BHK,1016,2.0,45.0,Bengaluru
Jakkur,3 BHK,1816,3.0,119.0,Bengaluru
7th Phase JP Nagar,3 BHK,1680,3.0,125.0,Bengaluru
Hoodi,4 BHK,2041 - 2090,4.0,91.915,Bengaluru
Kengeri,2 BHK,1220,2.0,63.0,Bengaluru
Hosur Road,4 Bedroom,3000,4.0,160.0,Bengaluru
7th Phase JP Nagar,2 BHK,980,2.0,86.0,Bengaluru
Nagarbhavi,4 Bedroom,1200,4.0,210.0,Bengaluru
Hormavu,2 BHK,1250,2.0,60.0,Bengaluru
Jakkur,2 BHK,1424,2.0,80.0,Bengaluru
Hennur Road,2 BHK,1297,2.0,49.9,Bengaluru
Karuna Nagar,3 Bedroom,1300,3.0,170.0,Bengaluru
Harlur,2 BHK,1290,2.0,89.9,Bengaluru
Koramangala,3 BHK,1720,2.0,130.0,Bengaluru
Judicial Layout,7 BHK,1200,7.0,199.0,Bengaluru
Deepanjali Nagar,3 Bedroom,2320,2.0,160.0,Bengaluru
Nallurhalli,3 BHK,1237,3.0,78.0,Bengaluru
Whitefield,3 BHK,1720,3.0,98.97,Bengaluru
Chikkalasandra,2 BHK,1224,2.0,45.0,Bengaluru
Yelahanka,3 BHK,1780,3.0,107.0,Bengaluru
Seegehalli,4 Bedroom,4700,5.0,800.0,Bengaluru
Electronics City Phase 1,3 BHK,1800,3.0,93.0,Bengaluru
Budigere,2 BHK,1139,2.0,56.5,Bengaluru
Pulkeshi Nagar,1 Bedroom,588,1.0,88.2,Bengaluru
2nd Phase Judicial Layout,2 BHK,700,2.0,35.0,Bengaluru
Kengeri,1 Bedroom,1150,1.0,52.0,Bengaluru
Channasandra,3 BHK,1330,2.0,51.83,Bengaluru
Old Airport Road,4 BHK,2732,4.0,194.0,Bengaluru
Kodigehaali,2 BHK,965,2.0,38.0,Bengaluru
Whitefield,3 BHK,1600,3.0,95.0,Bengaluru
KUDLU MAIN ROAD,2 BHK,1464,2.0,56.0,Bengaluru
Frazer Town,3 BHK,3100,3.0,400.0,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,45.0,Bengaluru
Kengeri Hobli,2 Bedroom,1840,1.0,95.0,Bengaluru
Gubbalala,3 BHK,1223,3.0,39.14,Bengaluru
Ramamurthy Nagar,2 BHK,1170,2.0,44.0,Bengaluru
Old Madras Road,4 BHK,3630,6.0,207.0,Bengaluru
Bellandur,2 BHK,950,2.0,35.0,Bengaluru
Frazer Town,3 BHK,5400,3.0,400.0,Bengaluru
Electronic City,2 BHK,865,2.0,40.0,Bengaluru
Kirloskar Layout,4 Bedroom,2400,4.0,89.0,Bengaluru
Lakshminarayana Pura,2 BHK,1169,2.0,75.0,Bengaluru
Hormavu,2 BHK,1206,2.0,40.0,Bengaluru
SARJAPUR BAGALUR ROAD,4 Bedroom,10961,4.0,80.0,Bengaluru
Lingadheeranahalli,3 BHK,1683,3.0,110.0,Bengaluru
Mico Layout,3 BHK,1250,2.0,44.0,Bengaluru
Green Glen Layout,4 BHK,3150,4.0,218.0,Bengaluru
B Y Raveshwara Nagar,4 Bedroom,1200,2.0,140.0,Bengaluru
Bhoganhalli,3 BHK,1234.6,3.0,104.0,Bengaluru
